file,mse_dip,mse_dir,abs_dip,abs_dir,mean_dip,mean_dir,mse_mp,mspe_dip,mspe_dir,abs_p_dip,abs_p_dir,mean_p_dip,mean_p_dir,mspe_mp
Interpolation_01.csv,95.19640021093328,1229.4103401170848,7.01639729584336,15.462187096703746,2.1089867599523267,4.0800056907150966,17.222040966573243,113.29048477910865,1199.3815224456287,7.688520390643662,16.938349221657646,2.2584717249963915,3.9203731843098777,17.088282384081463
Interpolation_02.csv,102.20414373631696,1280.2999605390444,7.28394741299319,16.238516490809083,2.448322588511918,4.270128830768218,18.980051955831843,115.03761492435183,1264.1248853387233,7.737123837671854,17.49284154205999,2.4173120136393775,4.082277608343257,18.946217796285527
Interpolation_03.csv,104.42708763418898,1271.8013570525425,7.5101022594392735,17.174116898122588,2.6449719466628827,4.562742404547105,23.388592110195635,115.75985789719206,1253.2307894740575,7.850187005169148,18.00870314333559,2.614255698222823,4.401277935049617,23.304469324822662
Interpolation_04.csv,108.91436469227746,1255.5162809720869,7.673907849082861,17.40554831096935,2.6375676854006813,4.167474170601589,28.551109718245957,117.71773762385686,1244.7548944086477,7.9290226763148395,17.98974192796121,2.610123681989175,4.214865244059541,28.404610413745814
Interpolation_05.csv,114.22378689761777,1258.1588696255678,7.930189709434734,17.468605510485812,2.995286323001135,4.161528228070375,32.13739680091042,122.44074444634511,1246.0818439311704,8.08852068955345,17.947673136984662,2.991874696526838,4.163663663813713,31.633993992003845
Interpolation_06.csv,100.22229757860548,1265.7037019883396,7.245346833189557,16.034603356749148,2.1142845681044267,4.338488767582293,21.241403901453925,117.12898047668025,1264.3206990805816,7.807702690852503,17.35553073502481,2.247316105105999,4.202390215385657,21.67807002285927
Interpolation_07.csv,105.31582035548836,1273.0105083138978,7.453406444944381,16.490184545950058,2.4557032624517596,4.048754332628831,22.811257712886757,114.261351545772,1242.0490039958554,7.801696578439333,17.503514461991433,2.430961312503383,4.0003236004172305,23.264050505166125
Interpolation_08.csv,105.00729303087701,1262.0515371518309,7.57080244339387,17.24730449494665,2.6430647151032916,4.484425290796822,26.88373020573862,116.87743890718092,1273.899038851268,7.887529458815967,18.109663429564726,2.640657006226883,4.351612346520072,27.240380864639125
Interpolation_09.csv,108.83298352903617,1245.0773364645906,7.699513953754823,17.23525395046992,2.614916552279228,4.232245375477866,31.506841935069662,117.40252743448262,1246.5485926110057,7.928476107848444,17.932987649857914,2.6484624259539915,4.234721574467748,31.89966424001653
Interpolation_10.csv,114.0131131478652,1254.5425874787697,7.959883554946652,17.403905655135073,3.0901232662156644,4.397206645278094,35.35652384473342,120.6017391521483,1242.8981265456046,8.076992455536987,17.956692544508343,3.079454694264998,4.313825738035635,35.20991222572
Interpolation_11.csv,109.37704708477814,1324.4051496344696,7.646149394242905,17.20028626521453,1.8243599085221336,4.571708963802498,33.8047811256105,117.20064523927644,1331.002120354985,7.929241116338745,18.352222273937304,1.8361109948322056,4.397116590049166,34.12682636277554
Interpolation_12.csv,112.34289862905969,1301.1963565350627,7.730355899854709,17.29456934058116,2.097465617489217,4.2040045386651546,35.02394760204981,116.78245466317648,1301.2411405139615,7.8769749911547144,18.22432591131484,1.9369322532025262,4.299618003637798,35.33870021379124
Interpolation_13.csv,110.0767411975544,1273.38656706105,7.718602231066969,17.756295089911465,2.393030487207718,4.4359327032372295,37.97523509162395,116.89921582060984,1283.9921715322057,7.931071343360395,18.518795443876858,2.295646696269734,4.473296559325664,38.2142746065621
Interpolation_14.csv,111.81698117333728,1251.9963162052013,7.803798674224745,17.65551714910556,2.4532206752054484,4.027664318072645,42.11801693566572,115.7127391734884,1248.563463890952,7.879648718748309,18.22176266941362,2.377799000133063,4.207756433933244,42.25478165511596
Interpolation_15.csv,115.25965261967833,1269.525814483876,7.97209716045176,17.67116509518048,3.0120574114528944,4.492514247484677,45.48007567481712,120.33049989404151,1257.1504186424286,8.055147112918359,18.068033201039693,2.94558140360848,4.425240223930987,45.34813656969093
Interpolation_16.csv,133.39507519824005,1357.6665684336754,8.768759987575482,18.40168930827015,2.0606825195119183,5.115987288129399,67.75020802864857,137.93531606168486,1364.4368565383957,8.920863014764548,19.403543217728462,1.8755545301096077,4.464137149162833,68.68299377988244
Interpolation_17.csv,137.47621685426452,1360.2389409275568,8.88248118430647,18.80057743908059,2.3973514945493757,4.963686026617479,68.70326133016172,140.19924026624238,1388.8774035412296,8.952926275654038,19.825753907230492,2.0566588181935046,4.246300798015336,69.62659149410634
Interpolation_18.csv,128.15026200481614,1304.2382403974768,8.588643111023837,18.63853564953462,2.5420990879228147,4.476767420581158,70.5355491687887,132.36015308465733,1326.0296851773642,8.69398449747632,19.285701985888586,2.4640442307780783,4.214997584273793,71.44547392219829
Interpolation_19.csv,122.5277713331479,1289.0335507760528,8.268202272311012,18.196507684989783,2.489099794980704,4.64487976783655,72.97872213266206,127.98086250550607,1292.6859446951125,8.408896406603517,18.801599295879566,2.323792038087506,4.462215248770862,73.70859606919248
Interpolation_20.csv,122.48022051430387,1269.227736672871,8.329715628351872,17.953979938338254,3.06295546261748,4.67798515814756,76.00057076053662,126.16828499757806,1260.1154687548446,8.414131856689218,18.384097507528192,3.0024686687280107,4.5172682729364,76.58759093375969
